# JULIAN DAY,L,B,R,H,DELTA PSI,DELTA EPSILON,EPSILON,ZENITH,AZIMUTH,INCIDENCE,DEL_E
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,173.385,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,172.607,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,169.260,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,164.973,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,160.351,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,155.584,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,150.744,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,145.861,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,140.951,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,136.024,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,131.085,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,126.137,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,121.183,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,116.224,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,111.262,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,106.298,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,101.332,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,96.364,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,91.396,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,86.428,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,81.460,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,76.493,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,71.528,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,66.564,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,61.603,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,56.647,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,51.695,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,46.751,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,41.817,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,36.896,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,31.997,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,27.130,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,22.316,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,17.600,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,13.089,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,9.091,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,6.615,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,7.393,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,10.740,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,15.027,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,19.649,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,24.416,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,29.256,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,34.139,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,39.049,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,43.976,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,48.915,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,53.863,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,58.817,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,63.776,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,68.738,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,73.702,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,78.668,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,83.636,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,88.604,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,93.572,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,98.540,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,103.507,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,108.472,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,113.436,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,118.397,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,123.353,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,128.305,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,133.249,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,138.183,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,143.104,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,148.003,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,152.870,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,157.684,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,162.400,0.000
2456099.688,270.214,0.000,1.016,7.048,0.004,-0.001,23.436,9.091,45.446,166.911,0.000
