# JULIAN DAY,L,B,R,H,DELTA PSI,DELTA EPSILON,EPSILON,ZENITH,AZIMUTH,INCIDENCE,DEL_E
2459638.500,159.376,0.000,0.990,296.853,-0.004,0.002,23.438,71.501,291.334,71.501,0.005
2459638.500,159.376,0.000,0.990,296.895,-0.004,0.002,23.438,71.468,291.359,71.468,0.005
2459638.500,159.376,0.000,0.990,296.937,-0.004,0.002,23.438,71.434,291.385,71.434,0.005
2459638.500,159.376,0.000,0.990,296.978,-0.004,0.002,23.438,71.400,291.410,71.400,0.005
2459638.500,159.376,0.000,0.990,297.020,-0.004,0.002,23.438,71.367,291.435,71.367,0.005
2459638.501,159.376,0.000,0.990,297.062,-0.004,0.002,23.438,71.333,291.460,71.333,0.005
2459638.501,159.376,0.000,0.990,297.103,-0.004,0.002,23.438,71.300,291.486,71.300,0.005
2459638.501,159.376,0.000,0.990,297.145,-0.004,0.002,23.438,71.266,291.511,71.266,0.005
2459638.501,159.376,0.000,0.990,297.187,-0.004,0.002,23.438,71.232,291.536,71.232,0.005
2459638.501,159.377,0.000,0.990,297.228,-0.004,0.002,23.438,71.199,291.561,71.199,0.005
2459638.501,159.377,0.000,0.990,297.270,-0.004,0.002,23.438,71.165,291.587,71.165,0.005
2459638.501,159.377,0.000,0.990,297.312,-0.004,0.002,23.438,71.132,291.612,71.132,0.005
2459638.501,159.377,0.000,0.990,297.353,-0.004,0.002,23.438,71.098,291.637,71.098,0.005
2459638.502,159.377,0.000,0.990,297.395,-0.004,0.002,23.438,71.065,291.663,71.065,0.005
2459638.502,159.377,0.000,0.990,297.437,-0.004,0.002,23.438,71.031,291.688,71.031,0.005
2459638.502,159.377,0.000,0.990,297.478,-0.004,0.002,23.438,70.998,291.714,70.998,0.005
2459638.502,159.377,0.000,0.990,297.520,-0.004,0.002,23.438,70.964,291.739,70.964,0.005
2459638.502,159.377,0.000,0.990,297.562,-0.004,0.002,23.438,70.930,291.764,70.930,0.005
2459638.502,159.378,0.000,0.990,297.603,-0.004,0.002,23.438,70.897,291.790,70.897,0.005
2459638.502,159.378,0.000,0.990,297.645,-0.004,0.002,23.438,70.863,291.815,70.863,0.005
2459638.502,159.378,0.000,0.990,297.687,-0.004,0.002,23.438,70.830,291.841,70.830,0.005
2459638.502,159.378,0.000,0.990,297.728,-0.004,0.002,23.438,70.796,291.866,70.796,0.005
2459638.503,159.378,0.000,0.990,297.770,-0.004,0.002,23.438,70.763,291.892,70.763,0.005
2459638.503,159.378,0.000,0.990,297.812,-0.004,0.002,23.438,70.729,291.917,70.729,0.005
2459638.503,159.378,0.000,0.990,297.853,-0.004,0.002,23.438,70.696,291.943,70.696,0.005
