# YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,TIMEZONE,DELTA_UT1,DELTA_T,LONGITUDE,LATITUDE,ELEVATION,PRESSURE,TEMPERATURE,SLOPE,AZM_ROTATION,ATMOS_REFRACT,FUNCTION,# JULIAN DAY,L,B,R,H,DELTA PSI,DELTA EPSILON,EPSILON,ZENITH,AZIMUTH,INCIDENCE,DEL_E,FLUXES,YEAR_DAY,DATE/TIME
2022.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.5,159.376,0.0,0.99,294.583,-0.004,0.002,23.438,64.721,275.307,64.721,0.004,241.5319235906467,59,2022-02-28 00:00:00
2022.0,2.0,28.0,0.0,0.0,10.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.5,159.376,0.0,0.99,294.625,-0.004,0.002,23.438,64.68,275.303,64.68,0.004,242.25485212387025,59,2022-02-28 00:00:10
2022.0,2.0,28.0,0.0,0.0,20.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.5,159.376,0.0,0.99,294.667,-0.004,0.002,23.438,64.639,275.3,64.639,0.004,242.97866814576616,59,2022-02-28 00:00:20
2022.0,2.0,28.0,0.0,0.0,30.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.5,159.376,0.0,0.99,294.708,-0.004,0.002,23.438,64.598,275.296,64.598,0.004,243.70337017106326,59,2022-02-28 00:00:30
2022.0,2.0,28.0,0.0,0.0,40.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.5,159.376,0.0,0.99,294.75,-0.004,0.002,23.438,64.557,275.292,64.557,0.004,244.42895671241115,59,2022-02-28 00:00:40
2022.0,2.0,28.0,0.0,0.0,50.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.501,159.376,0.0,0.99,294.792,-0.004,0.002,23.438,64.516,275.288,64.516,0.004,245.1554262803862,59,2022-02-28 00:00:50
2022.0,2.0,28.0,0.0,1.0,0.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.501,159.376,0.0,0.99,294.833,-0.004,0.002,23.438,64.475,275.284,64.475,0.004,245.8827773834966,59,2022-02-28 00:01:00
2022.0,2.0,28.0,0.0,1.0,10.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.501,159.376,0.0,0.99,294.875,-0.004,0.002,23.438,64.434,275.28,64.434,0.004,246.6110085281862,59,2022-02-28 00:01:10
2022.0,2.0,28.0,0.0,1.0,20.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.501,159.376,0.0,0.99,294.917,-0.004,0.002,23.438,64.393,275.277,64.393,0.004,247.34011821884104,59,2022-02-28 00:01:20
2022.0,2.0,28.0,0.0,1.0,30.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.501,159.377,0.0,0.99,294.958,-0.004,0.002,23.438,64.351,275.273,64.351,0.004,248.08792045634615,59,2022-02-28 00:01:30
2022.0,2.0,28.0,0.0,1.0,40.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.501,159.377,0.0,0.99,295.0,-0.004,0.002,23.438,64.31,275.269,64.31,0.004,248.818804079972,59,2022-02-28 00:01:40
2022.0,2.0,28.0,0.0,1.0,50.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.501,159.377,0.0,0.99,295.042,-0.004,0.002,23.438,64.269,275.265,64.269,0.004,249.55056171376725,59,2022-02-28 00:01:50
2022.0,2.0,28.0,0.0,2.0,0.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.501,159.377,0.0,0.99,295.083,-0.004,0.002,23.438,64.228,275.261,64.228,0.004,250.28319185388577,59,2022-02-28 00:02:00
2022.0,2.0,28.0,0.0,2.0,10.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.502,159.377,0.0,0.99,295.125,-0.004,0.002,23.438,64.187,275.258,64.187,0.004,251.0166929944472,59,2022-02-28 00:02:10
2022.0,2.0,28.0,0.0,2.0,20.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.502,159.377,0.0,0.99,295.167,-0.004,0.002,23.438,64.146,275.254,64.146,0.004,251.7510636275442,59,2022-02-28 00:02:20
2022.0,2.0,28.0,0.0,2.0,30.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.502,159.377,0.0,0.99,295.208,-0.004,0.002,23.438,64.105,275.25,64.105,0.004,252.4863022432457,59,2022-02-28 00:02:30
2022.0,2.0,28.0,0.0,2.0,40.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.502,159.377,0.0,0.99,295.25,-0.004,0.002,23.438,64.064,275.246,64.064,0.004,253.2224073296037,59,2022-02-28 00:02:40
2022.0,2.0,28.0,0.0,2.0,50.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.502,159.377,0.0,0.99,295.292,-0.004,0.002,23.438,64.023,275.242,64.023,0.004,253.95937737265552,59,2022-02-28 00:02:50
2022.0,2.0,28.0,0.0,3.0,0.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.502,159.378,0.0,0.99,295.333,-0.004,0.002,23.438,63.981,275.239,63.981,0.004,254.7152175688564,59,2022-02-28 00:03:00
2022.0,2.0,28.0,0.0,3.0,10.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.502,159.378,0.0,0.99,295.375,-0.004,0.002,23.438,63.94,275.235,63.94,0.004,255.45393397890984,59,2022-02-28 00:03:10
2022.0,2.0,28.0,0.0,3.0,20.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.502,159.378,0.0,0.99,295.417,-0.004,0.002,23.438,63.899,275.231,63.899,0.004,256.19351075464556,59,2022-02-28 00:03:20
2022.0,2.0,28.0,0.0,3.0,30.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.502,159.378,0.0,0.99,295.458,-0.004,0.002,23.438,63.858,275.227,63.858,0.004,256.93394637405106,59,2022-02-28 00:03:30
2022.0,2.0,28.0,0.0,3.0,40.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.503,159.378,0.0,0.99,295.5,-0.004,0.002,23.438,63.817,275.223,63.817,0.004,257.6752393131243,59,2022-02-28 00:03:40
2022.0,2.0,28.0,0.0,3.0,50.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.503,159.378,0.0,0.99,295.542,-0.004,0.002,23.438,63.776,275.22,63.776,0.004,258.4173880458807,59,2022-02-28 00:03:50
2022.0,2.0,28.0,0.0,4.0,0.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.503,159.378,0.0,0.99,295.583,-0.004,0.002,23.438,63.735,275.216,63.735,0.004,259.16039104435765,59,2022-02-28 00:04:00
2022.0,2.0,28.0,0.0,4.0,10.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.503,159.379,0.0,0.99,295.625,-0.004,0.002,23.438,63.694,275.212,63.694,0.004,259.9042467786178,59,2022-02-28 00:04:10
2022.0,2.0,28.0,0.0,4.0,20.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.503,159.379,0.0,0.99,295.667,-0.004,0.002,23.438,63.653,275.208,63.653,0.004,260.6489537167559,59,2022-02-28 00:04:20
2022.0,2.0,28.0,0.0,4.0,30.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.503,159.379,0.0,0.99,295.708,-0.004,0.002,23.438,63.611,275.204,63.611,0.004,261.41270523403216,59,2022-02-28 00:04:30
2022.0,2.0,28.0,0.0,4.0,40.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.503,159.379,0.0,0.99,295.75,-0.004,0.002,23.438,63.57,275.201,63.57,0.004,262.15913064335587,59,2022-02-28 00:04:40
2022.0,2.0,28.0,0.0,4.0,50.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.503,159.379,0.0,0.99,295.792,-0.004,0.002,23.438,63.529,275.197,63.529,0.004,262.9064026115458,59,2022-02-28 00:04:50
2022.0,2.0,28.0,0.0,5.0,0.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.503,159.379,0.0,0.99,295.833,-0.004,0.002,23.438,63.488,275.193,63.488,0.004,263.65451959882313,59,2022-02-28 00:05:00
2022.0,2.0,28.0,0.0,5.0,10.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.504,159.379,0.0,0.99,295.875,-0.004,0.002,23.438,63.447,275.189,63.447,0.004,264.40348006346414,59,2022-02-28 00:05:10
2022.0,2.0,28.0,0.0,5.0,20.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.504,159.379,0.0,0.99,295.917,-0.004,0.002,23.438,63.406,275.186,63.406,0.004,265.1532824618057,59,2022-02-28 00:05:20
2022.0,2.0,28.0,0.0,5.0,30.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.504,159.379,0.0,0.99,295.958,-0.004,0.002,23.438,63.365,275.182,63.365,0.004,265.9039252482493,59,2022-02-28 00:05:30
2022.0,2.0,28.0,0.0,5.0,40.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.504,159.38,0.0,0.99,296.0,-0.004,0.002,23.438,63.324,275.178,63.324,0.004,266.65540687526743,59,2022-02-28 00:05:40
2022.0,2.0,28.0,0.0,5.0,50.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.504,159.38,0.0,0.99,296.042,-0.004,0.002,23.438,63.283,275.174,63.283,0.004,267.4077257934066,59,2022-02-28 00:05:50
2022.0,2.0,28.0,0.0,6.0,0.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.504,159.38,0.0,0.99,296.083,-0.004,0.002,23.438,63.241,275.171,63.241,0.004,268.17926050453735,59,2022-02-28 00:06:00
2022.0,2.0,28.0,0.0,6.0,10.0,0.0,0.0,69.18,117.73,-7.71,16820.0,90.4,-56.5,0.0,0.0,0.65,1.0,2459638.504,159.38,0.0,0.99,296.125,-0.004,0.002,23.438,63.2,275.167,63.2,0.004,268.93326967547216,59,2022-02-28 00:06:10
