# YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,TIMEZONE,DELTA_UT1,DELTA_T,LONGITUDE,LATITUDE,ELEVATION,PRESSURE,TEMPERATURE,SLOPE,AZM_ROTATION,ATMOS_REFRACT,FUNCTION
2023.00,1.00,18.00,0.00,0.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,5.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,10.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,15.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,20.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,25.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,30.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,35.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,40.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,45.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,50.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,0.00,55.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,0.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,5.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,10.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,15.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,20.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,25.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,30.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,35.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,40.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,45.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,50.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,1.00,55.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,2.00,0.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,2.00,5.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,2.00,10.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,2.00,15.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,2.00,20.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,2.00,25.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,2.00,30.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
