# YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,TIMEZONE,DELTA_UT1,DELTA_T,LONGITUDE,LATITUDE,ELEVATION,PRESSURE,TEMPERATURE,SLOPE,AZM_ROTATION,ATMOS_REFRACT,FUNCTION,# JULIAN DAY,L,B,R,H,DELTA PSI,DELTA EPSILON,EPSILON,ZENITH,AZIMUTH,INCIDENCE,DEL_E
2012.0,6.0,21.0,0.0,0.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.167,269.717,0.0,1.016,179.577,0.004,-0.001,23.436,126.564,179.517,126.564,0.0
2012.0,6.0,21.0,0.0,10.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.174,269.724,0.0,1.016,182.076,0.004,-0.001,23.436,126.529,182.371,126.529,0.0
2012.0,6.0,21.0,0.0,20.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.181,269.73,0.0,1.016,184.576,0.004,-0.001,23.436,126.386,185.217,126.386,0.0
2012.0,6.0,21.0,0.0,30.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.188,269.737,0.0,1.016,187.076,0.004,-0.001,23.436,126.136,188.044,126.136,0.0
2012.0,6.0,21.0,0.0,40.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.194,269.743,0.0,1.016,189.575,0.004,-0.001,23.436,125.78,190.843,125.78,0.0
2012.0,6.0,21.0,0.0,50.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.201,269.75,0.0,1.016,192.075,0.004,-0.001,23.436,125.322,193.605,125.322,0.0
2012.0,6.0,21.0,1.0,0.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.208,269.757,0.0,1.016,194.575,0.004,-0.001,23.436,124.763,196.322,124.763,0.0
2012.0,6.0,21.0,1.0,10.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.215,269.763,0.0,1.016,197.074,0.004,-0.001,23.436,124.106,198.986,124.106,0.0
2012.0,6.0,21.0,1.0,20.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.222,269.77,0.0,1.016,199.574,0.004,-0.001,23.436,123.355,201.592,123.355,0.0
2012.0,6.0,21.0,1.0,30.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.229,269.777,0.0,1.016,202.073,0.004,-0.001,23.436,122.514,204.134,122.514,0.0
2012.0,6.0,21.0,1.0,40.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.236,269.783,0.0,1.016,204.573,0.004,-0.001,23.436,121.587,206.609,121.587,0.0
2012.0,6.0,21.0,1.0,50.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.243,269.79,0.0,1.016,207.073,0.004,-0.001,23.436,120.577,209.013,120.577,0.0
2012.0,6.0,21.0,2.0,0.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.25,269.796,0.0,1.016,209.572,0.004,-0.001,23.436,119.488,211.345,119.488,0.0
2012.0,6.0,21.0,2.0,10.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.257,269.803,0.0,1.016,212.072,0.004,-0.001,23.436,118.326,213.603,118.326,0.0
2012.0,6.0,21.0,2.0,20.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.264,269.81,0.0,1.016,214.571,0.004,-0.001,23.436,117.094,215.788,117.094,0.0
2012.0,6.0,21.0,2.0,30.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.271,269.816,0.0,1.016,217.071,0.004,-0.001,23.436,115.795,217.899,115.795,0.0
2012.0,6.0,21.0,2.0,40.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.278,269.823,0.0,1.016,219.571,0.004,-0.001,23.436,114.435,219.939,114.435,0.0
2012.0,6.0,21.0,2.0,50.0,0.0,8.0,0.0,69.18,120.0,30.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2456099.285,269.83,0.0,1.016,222.07,0.004,-0.001,23.436,113.017,221.908,113.017,0.0
