# YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,TIMEZONE,DELTA_UT1,DELTA_T,LONGITUDE,LATITUDE,ELEVATION,PRESSURE,TEMPERATURE,SLOPE,AZM_ROTATION,ATMOS_REFRACT,FUNCTION,# JULIAN DAY,L,B,R,H,DELTA PSI,DELTA EPSILON,EPSILON,ZENITH,AZIMUTH,INCIDENCE,DEL_E,FLUXES
2022.0,7.0,22.0,0.0,0.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.417,299.129,-0.0,1.016,152.742,-0.003,0.002,23.438,103.852,153.748,103.852,0.0,0.07567465614787451
2022.0,7.0,22.0,0.0,1.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.417,299.13,-0.0,1.016,152.992,-0.003,0.002,23.438,103.92,153.979,103.92,0.0,0.07396408224984974
2022.0,7.0,22.0,0.0,2.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.418,299.13,-0.0,1.016,153.242,-0.003,0.002,23.438,103.987,154.21,103.987,0.0,0.07231342878931912
2022.0,7.0,22.0,0.0,3.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.419,299.131,-0.0,1.016,153.492,-0.003,0.002,23.438,104.054,154.442,104.054,0.0,0.07069668505535094
2022.0,7.0,22.0,0.0,4.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.419,299.132,-0.0,1.016,153.742,-0.003,0.002,23.438,104.12,154.674,104.12,0.0,0.06913665338164536
2022.0,7.0,22.0,0.0,5.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.42,299.132,-0.0,1.016,153.992,-0.003,0.002,23.438,104.186,154.906,104.186,0.0,0.06760839848923317
2022.0,7.0,22.0,0.0,6.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.421,299.133,-0.0,1.016,154.242,-0.003,0.002,23.438,104.251,155.138,104.251,0.0,0.06613382125507346
2022.0,7.0,22.0,0.0,7.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.422,299.134,-0.0,1.016,154.492,-0.003,0.002,23.438,104.315,155.371,104.315,0.0,0.06471101483460233
2022.0,7.0,22.0,0.0,8.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.422,299.134,-0.0,1.016,154.742,-0.003,0.002,23.438,104.379,155.603,104.379,0.0,0.06331657363610953
2022.0,7.0,22.0,0.0,9.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.423,299.135,-0.0,1.016,154.992,-0.003,0.002,23.438,104.443,155.836,104.443,0.0,0.06195001132785882
2022.0,7.0,22.0,0.0,10.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.424,299.136,-0.0,1.016,155.242,-0.003,0.002,23.438,104.506,156.07,104.506,0.0,0.060631563212405926
2022.0,7.0,22.0,0.0,11.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.424,299.136,-0.0,1.016,155.492,-0.003,0.002,23.438,104.568,156.303,104.568,0.0,0.059359522214106016
2022.0,7.0,22.0,0.0,12.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.425,299.137,-0.0,1.016,155.742,-0.003,0.002,23.438,104.63,156.537,104.63,0.0,0.05811232718671838
2022.0,7.0,22.0,0.0,13.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.426,299.138,-0.0,1.016,155.992,-0.003,0.002,23.438,104.691,156.771,104.691,0.0,0.05690908635325026
2022.0,7.0,22.0,0.0,14.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.426,299.138,-0.0,1.016,156.242,-0.003,0.002,23.438,104.751,157.005,104.751,0.0,0.055748249061847444
2022.0,7.0,22.0,0.0,15.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.427,299.139,-0.0,1.016,156.492,-0.003,0.002,23.438,104.811,157.239,104.811,0.0,0.05460952668621703
2022.0,7.0,22.0,0.0,16.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.428,299.14,-0.0,1.016,156.742,-0.003,0.002,23.438,104.871,157.474,104.871,0.0,0.05349254978239176
2022.0,7.0,22.0,0.0,17.0,0.0,2.0,0.0,69.18,4.36,52.0,20000.0,54.75,-56.5,0.0,0.0,0.56,1.0,2459782.428,299.14,-0.0,1.016,156.992,-0.003,0.002,23.438,104.93,157.709,104.93,0.0,0.052415040024888185
